b1,b2,b3,x,y,S,J1_star,G,alpha_star,alpha_idx,is_degenerate
0.0000000000,0.0000000000,1.0000000000,0.5000000000,0.8660254038,1.0000000000,1.0000000000,0.0000000000,1.4922565105,171,1
0.0000000000,0.0125000000,0.9875000000,0.5062500000,0.8552000862,0.9875000000,0.9937688762,0.0062688762,1.0559241975,121,0
0.0000000000,0.0250000000,0.9750000000,0.5125000000,0.8443747687,0.9750000000,0.9875761187,0.0125761187,1.0733774900,123,0
0.0000000000,0.0375000000,0.9625000000,0.5187500000,0.8335494511,0.9625000000,0.9814285478,0.0189285478,1.0821041362,124,0
0.0000000000,0.0500000000,0.9500000000,0.5250000000,0.8227241336,0.9500000000,0.9753202636,0.0253202636,1.0908307825,125,0
0.0000000000,0.0625000000,0.9375000000,0.5312500000,0.8118988160,0.9375000000,0.9692517095,0.0317517095,1.0995574288,126,0
0.0000000000,0.0750000000,0.9250000000,0.5375000000,0.8010734985,0.9250000000,0.9632287381,0.0382287381,1.1170107213,128,0
0.0000000000,0.0875000000,0.9125000000,0.5437500000,0.7902481810,0.9125000000,0.9572492043,0.0447492043,1.1257373675,129,0
0.0000000000,0.1000000000,0.9000000000,0.5500000000,0.7794228634,0.9000000000,0.9513109573,0.0513109573,1.1344640138,130,0
0.0000000000,0.1125000000,0.8875000000,0.5562500000,0.7685975459,0.8875000000,0.9454213410,0.0579213410,1.1519173063,132,0
0.0000000000,0.1250000000,0.8750000000,0.5625000000,0.7577722283,0.8750000000,0.9395760740,0.0645760740,1.1606439526,133,0
0.0000000000,0.1375000000,0.8625000000,0.5687500000,0.7469469108,0.8625000000,0.9337752965,0.0712752965,1.1780972451,135,0
0.0000000000,0.1500000000,0.8500000000,0.5750000000,0.7361215932,0.8500000000,0.9280256932,0.0780256932,1.1868238914,136,0
0.0000000000,0.1625000000,0.8375000000,0.5812500000,0.7252962757,0.8375000000,0.9223198047,0.0848198047,1.1955505376,137,0
0.0000000000,0.1750000000,0.8250000000,0.5875000000,0.7144709581,0.8250000000,0.9166664366,0.0916664366,1.2130038301,139,0
0.0000000000,0.1875000000,0.8125000000,0.5937500000,0.7036456406,0.8125000000,0.9110596587,0.0985596587,1.2217304764,140,0
0.0000000000,0.2000000000,0.8000000000,0.6000000000,0.6928203230,0.8000000000,0.9055045175,0.1055045175,1.2391837689,142,0
0.0000000000,0.2125000000,0.7875000000,0.6062500000,0.6819950055,0.7875000000,0.8999991550,0.1124991550,1.2479104152,143,0
0.0000000000,0.2250000000,0.7750000000,0.6125000000,0.6711696879,0.7750000000,0.8945457341,0.1195457341,1.2653637077,145,0
0.0000000000,0.2375000000,0.7625000000,0.6187500000,0.6603443704,0.7625000000,0.8891439283,0.1266439283,1.2740903540,146,0
