baseline_index,b1,b2,b3,x,y,suspicion_score,baseline_D1,baseline_D0,coarse_D1,coarse_D0,refined_D1,refined_D0,exact_D1_dense,exact_D0_dense,abs_err_baseline_D1_vs_exact,abs_err_baseline_D0_vs_exact,abs_err_coarse_D0_vs_exact,abs_err_refined_D0_vs_exact,baseline_stage1_measure,baseline_stage0_measure,coarse_stage1_measure,coarse_stage0_measure,refined_stage1_measure,refined_stage0_measure,exact_stage1_measure,exact_stage0_measure,baseline_vs_exact_D0_sign_flip,coarse_vs_exact_D0_sign_flip,refined_vs_exact_D0_sign_flip,map_dist_to_coarse,map_dist_to_refined
77,0.0,0.9625,0.0375,0.9812500000000001,0.032475952641916446,2.9928758758461855,0.0,0.0014683999476083898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014683999476083898,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.017677669529663653,0.005892556509887885
83,0.0125,0.025,0.9625,0.50625,0.8335494511425222,2.7191830543767104,0.0,0.0,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0021496135157018648,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
158,0.0125,0.9625,0.025,0.975,0.021650635094610966,2.7191830543767215,0.0,0.0,0.0,0.002149613515701976,0.0,0.0,0.0,0.0,0.0,0.0,0.002149613515701976,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
162,0.025,0.0125,0.9625,0.49375,0.8335494511425222,2.7191830543767104,0.0,0.0,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,0.0,0.0021496135157018648,0.0,0,0,0,1,0,0,0,0,0,1,0,0.017677669529663737,0.005892556509887885
163,0.025,0.025,0.95,0.5,0.8227241335952167,2.7246749039293645,0.0,4.1691085338690925e-05,0.0,0.0021496135157018648,0.0,0.0,0.0,0.0,0.0,4.1691085338690925e-05,0.0021496135157018648,0.0,0,1,0,1,0,0,0,0,1,1,0,0.0,0.0
237,0.025,0.95,0.025,0.9624999999999999,0.021650635094610966,2.7246749039293614,0.0,4.16910853385799e-05,0.0,0.002149613515701976,0.0,0.0,0.0,0.0,0.0,4.16910853385799e-05,0.002149613515701976,0.0,0,1,0,1,0,0,0,0,1,1,0,0.0,0.0
1473,0.25,0.5375,0.2125,0.6437499999999999,0.1840303983041932,2.41981329562801,0.11844625893537553,0.1603449817756426,0.12723477953979456,0.14764215077218812,0.1184234565204455,0.15553272095852155,0.11649302795933114,0.15590426917424383,0.0019532309760443844,0.0044407126013987774,0.008262118402055707,0.0003715482157222727,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663723,0.005892556509887875
1475,0.25,0.5625,0.1875,0.65625,0.16237976320958225,2.3696105763667994,0.11891861161453077,0.1455598181927834,0.1265484473115439,0.13393708106899804,0.11874145816676329,0.14049111672869907,0.11609426505143539,0.14123395018628582,0.0028243465630953812,0.004325868006497591,0.007296869117287774,0.0007428334575867446,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
1477,0.25,0.5875,0.1625,0.6687500000000001,0.14072912811497126,2.3458784101514225,0.11778167785729154,0.13094736998184608,0.12529956489315397,0.12171926865306748,0.11922669880554038,0.12493539639879991,0.11572248984435862,0.12679106336264934,0.002059188012932922,0.004156306619196748,0.005071794709581856,0.0018556669638494228,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663664,0.005892556509887895
1711,0.3,0.5375,0.1625,0.61875,0.14072912811497126,2.2400757156170292,0.14793380886108232,0.14190564553964724,0.15500000000000003,0.13077627132424774,0.14739837195805938,0.13717597978496554,0.14581769752797913,0.13687785616401593,0.0021161113331031878,0.0050277893756313086,0.006101584839768193,0.00029812362094960854,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663743,0.005892556509887895
1751,0.3125,0.325,0.3625,0.50625,0.31393420887185897,2.6841938556038905,0.289010390885408,0.1236901379810128,0.2885416666666667,0.1440495776883869,0.28881944444444435,0.1262929978441787,0.2841666666666666,0.12134324734652036,0.004843724218741352,0.002346890634492449,0.022706330341866532,0.004949750497658334,1,1,1,1,1,1,1,1,0,0,0,0.017677669529663705,0.005892556509887875
